car_model,review_count,外观设计_performance,外观设计_importance,外观设计_mention_rate,内饰质感_performance,内饰质感_importance,内饰质感_mention_rate,智能配置_performance,智能配置_importance,智能配置_mention_rate,空间实用_performance,空间实用_importance,空间实用_mention_rate,舒适体验_performance,舒适体验_importance,舒适体验_mention_rate,操控性能_performance,操控性能_importance,操控性能_mention_rate,续航能耗_performance,续航能耗_importance,续航能耗_mention_rate,价值认知_performance,价值认知_importance,价值认知_mention_rate
32零跑C10,776,0.10704895158539698,0.12394536827379321,0.6739690721649485,0.10476862606817391,0.1235126988476571,0.7422680412371134,0.11086631908792824,0.14390585113287277,0.8208762886597938,0.1058503109343621,0.1363197138612862,0.8234536082474226,0.09797787785078892,0.08957699352438092,0.4742268041237113,0.11455607876441458,0.1508429842652552,0.7255154639175257,0.11133652953970997,0.14402122964650907,0.7680412371134021,0.11472371103308977,0.08787516044824553,0.6198453608247423
33零跑C16,442,0.10790001520300985,0.12394536827379321,0.5950226244343891,0.1076317388191899,0.1235126988476571,0.6334841628959276,0.1067369650084522,0.14390585113287277,0.7737556561085973,0.1160525572394411,0.1363197138612862,0.834841628959276,0.10989853889421283,0.08957699352438092,0.4095022624434389,0.11191324576468234,0.1508429842652552,0.6990950226244343,0.11474160118639642,0.14402122964650907,0.753393665158371,0.11416260176982077,0.08787516044824553,0.6447963800904978
34零跑T03,519,0.11655833485275004,0.12394536827379321,0.6319845857418112,0.10121789030004089,0.1235126988476571,0.6165703275529865,0.10987310995615718,0.14390585113287277,0.6608863198458574,0.11529494213226353,0.1363197138612862,0.7148362235067437,0.09542738648070367,0.08957699352438092,0.371868978805395,0.11532317197048679,0.1508429842652552,0.7263969171483622,0.11571111877388142,0.14402122964650907,0.859344894026975,0.11718750166047903,0.08787516044824553,0.6416184971098265
35哪吒S,304,0.0996319481750907,0.12394536827379321,0.7828947368421053,0.10249767748545735,0.1235126988476571,0.5657894736842105,0.1039002453723146,0.14390585113287277,0.7532894736842105,0.10525855697157169,0.1363197138612862,0.6546052631578947,0.10938119326504121,0.08957699352438092,0.45394736842105265,0.1104618387940225,0.1508429842652552,0.7236842105263158,0.10807756755199681,0.14402122964650907,0.694078947368421,0.11428978920095799,0.08787516044824553,0.5
36秦L EV,35,0.08439297169033025,0.12394536827379321,0.5142857142857142,0.10691903751147419,0.1235126988476571,0.5428571428571428,0.10708411625020046,0.14390585113287277,0.6,0.12341208125865627,0.1363197138612862,0.6571428571428571,0.09311912816304427,0.08957699352438092,0.37142857142857144,0.10626419860383739,0.1508429842652552,0.6571428571428571,0.10903489528099695,0.14402122964650907,0.7142857142857143,0.11719658757959094,0.08787516044824553,0.4
37深蓝S05,165,0.10632080703496899,0.12394536827379321,0.6484848484848484,0.10251655548903456,0.1235126988476571,0.5393939393939394,0.11426274328521999,0.14390585113287277,0.7090909090909091,0.110529388592765,0.1363197138612862,0.6787878787878788,0.1175629404989638,0.08957699352438092,0.3212121212121212,0.10200714698977435,0.1508429842652552,0.6121212121212121,0.10979104637709493,0.14402122964650907,0.7272727272727273,0.11675384152299115,0.08787516044824553,0.44242424242424244
38宋L EV,164,0.1036639050894405,0.12394536827379321,0.6646341463414634,0.102800712820624,0.1235126988476571,0.5121951219512195,0.10243213709828596,0.14390585113287277,0.5914634146341463,0.11543527401624283,0.1363197138612862,0.524390243902439,0.08877132692073703,0.08957699352438092,0.32926829268292684,0.1074761079832655,0.1508429842652552,0.6646341463414634,0.11280362131309969,0.14402122964650907,0.573170731707317,0.09064789555229985,0.08787516044824553,0.3170731707317073
39唐EV,107,0.10150438827924989,0.12394536827379321,0.45794392523364486,0.09812432981672742,0.1235126988476571,0.5887850467289719,0.10856619561871066,0.14390585113287277,0.7009345794392523,0.11588357326305704,0.1363197138612862,0.7663551401869159,0.10025003250865709,0.08957699352438092,0.3925233644859813,0.1074825944391643,0.1508429842652552,0.6542056074766355,0.1238519945082719,0.14402122964650907,0.8317757009345794,0.09129672338565191,0.08787516044824553,0.2803738317757009
3比亚迪 汉EV,868,0.10223430251056205,0.12394536827379321,0.6993087557603687,0.09527536339991921,0.1235126988476571,0.6889400921658986,0.10232299333384139,0.14390585113287277,0.783410138248848,0.1087901345413888,0.1363197138612862,0.8145161290322581,0.10016909555535661,0.08957699352438092,0.6175115207373272,0.10667915621483899,0.1508429842652552,0.8675115207373272,0.10951149963747377,0.14402122964650907,0.8410138248847926,0.11058791385968914,0.08787516044824553,0.43894009216589863
40问界M7,519,0.10919476456779875,0.12394536827379321,0.5028901734104047,0.10195063329595765,0.1235126988476571,0.6088631984585742,0.0979630821883282,0.14390585113287277,0.7630057803468208,0.10548345475401887,0.1363197138612862,0.6685934489402697,0.10067807813027194,0.08957699352438092,0.4624277456647399,0.1072860067432738,0.1508429842652552,0.7456647398843931,0.10831695360112466,0.14402122964650907,0.5838150289017341,0.12120273621130064,0.08787516044824553,0.34104046242774566
41五菱星光PHEV,306,0.1098093059614428,0.12394536827379321,0.5098039215686274,0.10067788280078753,0.1235126988476571,0.45098039215686275,0.10020553570654275,0.14390585113287277,0.5718954248366013,0.10831033221163439,0.1363197138612862,0.6078431372549019,0.08739179765056608,0.08957699352438092,0.3954248366013072,0.10138378370298586,0.1508429842652552,0.6372549019607843,0.08765630031695919,0.14402122964650907,0.6405228758169934,0.09560809895322096,0.08787516044824553,0.43790849673202614
42小米YU7,17,0.0959013607352972,0.12394536827379321,0.7058823529411765,0.09475472209093733,0.1235126988476571,0.7647058823529411,0.08783526519910162,0.14390585113287277,0.7647058823529411,0.10399981427371771,0.1363197138612862,0.8235294117647058,0.12482624532034002,0.08957699352438092,0.7058823529411765,0.10158228039996237,0.1508429842652552,0.7647058823529411,0.13529711817229675,0.14402122964650907,0.7647058823529411,0.09807748426362951,0.08787516044824553,0.5294117647058824
43小鹏MONA M03,133,0.10618933714602304,0.12394536827379321,0.518796992481203,0.10838380330297652,0.1235126988476571,0.48120300751879697,0.10802359529016653,0.14390585113287277,0.6165413533834586,0.12558709779322064,0.1363197138612862,0.556390977443609,0.10387438402200738,0.08957699352438092,0.24060150375939848,0.11571073805676005,0.1508429842652552,0.556390977443609,0.10381623482967815,0.14402122964650907,0.6842105263157895,0.11917928762379147,0.08787516044824553,0.3684210526315789
44小鹏P7+,80,0.10038020220661087,0.12394536827379321,0.7375,0.08873182549700986,0.1235126988476571,0.6125,0.10427098236894397,0.14390585113287277,0.6625,0.0879195890764499,0.1363197138612862,0.8,0.12094274671777845,0.08957699352438092,0.4125,0.10715344938493909,0.1508429842652552,0.7,0.1156843136400851,0.14402122964650907,0.8,0.100019706827071,0.08787516044824553,0.3
46星愿,408,0.10622554178317085,0.12394536827379321,0.6593137254901961,0.10424208989527889,0.1235126988476571,0.5931372549019608,0.10528018216763772,0.14390585113287277,0.6862745098039216,0.10481907949747983,0.1363197138612862,0.821078431372549,0.10996156806747119,0.08957699352438092,0.29411764705882354,0.11210517821459928,0.1508429842652552,0.5931372549019608,0.1109192135105292,0.14402122964650907,0.7916666666666666,0.10889351560651012,0.08787516044824553,0.5931372549019608
47雅阁 PHEV,54,0.1027839567224772,0.12394536827379321,0.5370370370370371,0.10175880114351653,0.1235126988476571,0.5370370370370371,0.09377841567303859,0.14390585113287277,0.5185185185185185,0.09825737399454561,0.1363197138612862,0.6851851851851852,0.07985229069131544,0.08957699352438092,0.5370370370370371,0.10489649697244051,0.1508429842652552,0.7592592592592593,0.10159506873163597,0.14402122964650907,0.5555555555555556,0.12359285391213601,0.08787516044824553,0.35185185185185186
48仰望U8,56,0.09038421591462573,0.12394536827379321,0.6964285714285714,0.09140406241964291,0.1235126988476571,0.7321428571428571,0.11428119179905223,0.14390585113287277,0.7857142857142857,0.11295786407748562,0.1363197138612862,0.6785714285714286,0.09539909543593726,0.08957699352438092,0.44642857142857145,0.11243818782112269,0.1508429842652552,0.75,0.11773168326941225,0.14402122964650907,0.5178571428571429,0.10081902720861965,0.08787516044824553,0.5357142857142857
49元PLUS,731,0.1129107009126741,0.12394536827379321,0.49247606019151846,0.10633320653670744,0.1235126988476571,0.5950752393980848,0.1075491696780931,0.14390585113287277,0.5362517099863201,0.11628883457795859,0.1363197138612862,0.560875512995896,0.09546953878264072,0.08957699352438092,0.34746922024623805,0.11051692361505146,0.1508429842652552,0.6607387140902873,0.11105885388541187,0.14402122964650907,0.7004103967168263,0.11251937160851247,0.08787516044824553,0.35704514363885087
4比亚迪海豹06GT,70,0.10686144601812633,0.12394536827379321,0.8285714285714286,0.10826519031649971,0.1235126988476571,0.7571428571428571,0.11051523543921278,0.14390585113287277,0.7,0.1176861165232217,0.1363197138612862,0.8,0.10797303621699145,0.08957699352438092,0.5285714285714286,0.11914071203255376,0.1508429842652552,0.9142857142857143,0.1062231243853209,0.14402122964650907,0.8714285714285714,0.12531527497020423,0.08787516044824553,0.4857142857142857
50长安启源A07,373,0.1024826993961955,0.12394536827379321,0.6568364611260054,0.09832086831217986,0.1235126988476571,0.5710455764075067,0.09330067974505608,0.14390585113287277,0.7319034852546917,0.1078514521535428,0.1363197138612862,0.579088471849866,0.10396925087107552,0.08957699352438092,0.40214477211796246,0.10828363695983471,0.1508429842652552,0.5924932975871313,0.10757926909617298,0.14402122964650907,0.7158176943699732,0.10645319042009298,0.08787516044824553,0.42091152815013405
5比亚迪海豹,51,0.09938097074627877,0.12394536827379321,0.803921568627451,0.11194862501513689,0.1235126988476571,0.7450980392156863,0.11772345574949594,0.14390585113287277,0.7843137254901961,0.11439564801337232,0.1363197138612862,0.6470588235294118,0.09094004859159022,0.08957699352438092,0.5294117647058824,0.11447050161308427,0.1508429842652552,0.8431372549019608,0.10322225916214514,0.14402122964650907,0.8235294117647058,0.1214589597213009,0.08787516044824553,0.43137254901960786
6比亚迪秦L,209,0.09854003351654275,0.12394536827379321,0.5406698564593302,0.09293187124426235,0.1235126988476571,0.5406698564593302,0.11028392746632946,0.14390585113287277,0.5358851674641149,0.11177426213765168,0.1363197138612862,0.5502392344497608,0.09736399378371302,0.08957699352438092,0.3444976076555024,0.1167947376319639,0.1508429842652552,0.5454545454545454,0.10703425491096202,0.14402122964650907,0.645933014354067,0.11425847099658024,0.08787516044824553,0.44976076555023925
7蔚来ET7,127,0.09767791563405437,0.12394536827379321,0.6614173228346457,0.10146194085186544,0.1235126988476571,0.7165354330708661,0.1106480142379431,0.14390585113287277,0.7637795275590551,0.10796293472255004,0.1363197138612862,0.7007874015748031,0.11401229262125859,0.08957699352438092,0.7165354330708661,0.10629693529932822,0.1508429842652552,0.7952755905511811,0.11814528399382473,0.14402122964650907,0.7637795275590551,0.1214253545280487,0.08787516044824553,0.33070866141732286
8蔚来ET5T,162,0.10028232218208713,0.12394536827379321,0.808641975308642,0.10378363382255283,0.1235126988476571,0.6604938271604939,0.11416475472773774,0.14390585113287277,0.7654320987654321,0.11316244286648709,0.1363197138612862,0.7530864197530864,0.0902520309885343,0.08957699352438092,0.43209876543209874,0.11157897550891446,0.1508429842652552,0.7962962962962963,0.11334342770301964,0.14402122964650907,0.7962962962962963,0.10802494274646565,0.08787516044824553,0.4876543209876543
9小米SU7,204,0.10224996652887236,0.12394536827379321,0.7254901960784313,0.10469049435319096,0.1235126988476571,0.5784313725490197,0.10025235304644235,0.14390585113287277,0.6715686274509803,0.11503589497169356,0.1363197138612862,0.6813725490196079,0.10746263392476571,0.08957699352438092,0.39215686274509803,0.10774781128546236,0.1508429842652552,0.8186274509803921,0.11651149833013731,0.14402122964650907,0.6029411764705882,0.11698492222823549,0.08787516044824553,0.37254901960784315
